log,config,excluded_feature,pattern,run,attribute,attribute_kind,metric,value
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,6,org:resource,categorical,accuracy,0.9995189905166626
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,7,org:resource,categorical,accuracy,0.9995189905166626
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,8,org:resource,categorical,accuracy,0.9995189905166626
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,9,org:resource,categorical,accuracy,0.9995189905166626
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,0,org:role,categorical,accuracy,0.9915825128555298
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,1,org:role,categorical,accuracy,0.9797980189323424
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,2,org:role,categorical,accuracy,0.978595495223999
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,3,org:role,categorical,accuracy,0.9915825128555298
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,4,org:role,categorical,accuracy,0.98124098777771
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,5,org:role,categorical,accuracy,0.9817219972610474
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,6,org:role,categorical,accuracy,0.9903799891471864
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,7,org:role,categorical,accuracy,0.9937469959259032
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,8,org:role,categorical,accuracy,0.9877344965934752
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,9,org:role,categorical,accuracy,0.9822030067443848
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,0,time:timestamp,numerical,mae,0.0070184646174311
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,1,time:timestamp,numerical,mae,0.0072101661935448
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,2,time:timestamp,numerical,mae,0.0072769979014992
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,3,time:timestamp,numerical,mae,0.0075773145072162
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,4,time:timestamp,numerical,mae,0.0073860785923898
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,5,time:timestamp,numerical,mae,0.0075454567559063
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,6,time:timestamp,numerical,mae,0.007654923480004
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,7,time:timestamp,numerical,mae,0.0071129756979644
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,8,time:timestamp,numerical,mae,0.0070875594392418
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,9,time:timestamp,numerical,mae,0.0074721560813486
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,0,case:Activity,categorical,accuracy,1.0
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,1,case:Activity,categorical,accuracy,1.0
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,2,case:Activity,categorical,accuracy,1.0
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,3,case:Activity,categorical,accuracy,1.0
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,4,case:Activity,categorical,accuracy,1.0
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,5,case:Activity,categorical,accuracy,1.0
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,6,case:Activity,categorical,accuracy,1.0
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,7,case:Activity,categorical,accuracy,1.0
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,8,case:Activity,categorical,accuracy,1.0
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,9,case:Activity,categorical,accuracy,1.0
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,0,case:OrganizationalEntity,categorical,accuracy,0.9446796178817748
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,1,case:OrganizationalEntity,categorical,accuracy,0.9331923127174376
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,2,case:OrganizationalEntity,categorical,accuracy,0.9383313655853271
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,3,case:OrganizationalEntity,categorical,accuracy,0.9446796178817748
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,4,case:OrganizationalEntity,categorical,accuracy,0.9392382502555848
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,5,case:OrganizationalEntity,categorical,accuracy,0.9392382502555848
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,6,case:OrganizationalEntity,categorical,accuracy,0.8944982290267944
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,7,case:OrganizationalEntity,categorical,accuracy,0.9477025866508484
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,8,case:OrganizationalEntity,categorical,accuracy,0.9555622935295104
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,9,case:OrganizationalEntity,categorical,accuracy,0.9132406711578368
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,0,case:Project,categorical,accuracy,0.9319831132888794
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,1,case:Project,categorical,accuracy,0.9244256615638732
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,2,case:Project,categorical,accuracy,0.9056832194328308
