log,excluded_feature,structural,pattern,delta_cat,delta_num,n_significant,n_targets
bpi_2013_CZ,impact,False,attr_level,0.016296496167778986,0.0011222251690924008,2.0,11.0
bpi_2013_CZ,impact,False,even,0.014493785202503173,-0.002321698237210533,2.0,11.0
bpi_2013_CZ,impact,False,odd,0.015590465813875198,-0.0004037691280245684,4.0,11.0
bpi_2013_CZ,impact,False,random,0.011928007602691621,-0.002742313873022796,2.0,11.0
bpi_2013_CZ,impact,False,window,0.01113088078796865,-0.0012720166705548798,2.0,11.0
bpi_2013_CZ,lifecycle:transition,False,attr_level,0.025847660824656504,-0.002237914875149738,3.0,11.0
bpi_2013_CZ,lifecycle:transition,False,even,0.014672418981790534,-0.002299813367426417,3.0,11.0
bpi_2013_CZ,lifecycle:transition,False,odd,0.010847249925136577,-0.0017467185389250448,3.0,11.0
bpi_2013_CZ,lifecycle:transition,False,random,0.00938179157674311,-0.0019845599308609962,3.0,11.0
bpi_2013_CZ,lifecycle:transition,False,window,0.00681630596518519,-0.0020214727614074994,2.0,11.0
bpi_2013_CZ,org:group,False,attr_level,0.008838978037238144,0.00026703653857112694,0.0,11.0
bpi_2013_CZ,org:group,False,even,0.007860459089279154,-0.0007128627970815031,1.0,11.0
bpi_2013_CZ,org:group,False,odd,0.004326410442590722,4.482250660657605e-05,1.0,11.0
bpi_2013_CZ,org:group,False,random,0.005317211151123019,-0.0017470981925725923,0.0,11.0
bpi_2013_CZ,org:group,False,window,0.007415867745876323,-0.00088444361463191,0.0,11.0
bpi_2013_CZ,org:resource,False,attr_level,0.017701686918735533,-0.0012114549987018268,2.0,11.0
bpi_2013_CZ,org:resource,False,even,0.016155160814523672,-0.00110177276656033,2.0,11.0
bpi_2013_CZ,org:resource,False,odd,0.012429921180009856,-0.0012642940506338886,4.0,11.0
bpi_2013_CZ,org:resource,False,random,0.010327159762382498,-0.0012037435546517344,1.0,11.0
bpi_2013_CZ,org:resource,False,window,0.005323044210672384,-0.001668909192085271,2.0,11.0
bpi_2013_CZ,org:role,False,attr_level,0.01463161841034893,0.003990966547280563,2.0,11.0
bpi_2013_CZ,org:role,False,even,0.01832672886550426,0.0023639813996851333,2.0,11.0
bpi_2013_CZ,org:role,False,odd,0.01669843904674055,0.0032850441988557626,4.0,11.0
bpi_2013_CZ,org:role,False,random,0.01922514669597148,0.0008104726672172637,2.0,11.0
bpi_2013_CZ,org:role,False,window,0.016760344430804257,0.0016079937107860778,2.0,11.0
bpi_2013_CZ,organization country,False,attr_level,0.006800107136368768,-0.0033454041928052923,0.0,11.0
bpi_2013_CZ,organization country,False,even,0.009745025336742388,-0.004290840029716527,2.0,11.0
bpi_2013_CZ,organization country,False,odd,0.007282318770885482,-0.00391100253909827,2.0,11.0
bpi_2013_CZ,organization country,False,random,0.007816719487309444,-0.0048868158832192435,0.0,11.0
