excluded_feature,test_type,org:resource_acc,impact_acc,concept:name_acc,lifecycle:transition_acc,org:group_acc,org:role_acc,organization country_acc,organization involved_acc,product_acc,resource country_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp,Activity_acc
org:role,random,0.1030219815671444,0.9485639870166779,0.7509138464927674,0.6459530293941498,0.8493472695350647,,0.8997389197349548,0.25013262331485747,0.3046997457742691,0.8065274298191071,0.023723799223080277,20.353807778516785,0.021989134978502987,0.6326370954513549
org:role,window,0.13149425238370896,0.9984716176986694,0.7786026298999786,0.685807865858078,0.9513157904148102,,0.9609170496463776,0.3137168109416962,0.3423580825328827,0.8349345088005066,0.022981397295370697,18.160127051197925,0.019851077068597078,0.678384292125702
org:role,attr_level,0.09259259179234505,0.9090439438819885,0.895148229598999,0.8178191184997559,0.8532608866691589,,0.8975999891757965,0.22165775895118714,0.2858666628599167,0.7744245529174805,0.027368750213645397,20.104287317185662,0.024598941206932068,0.7661538779735565
organization country,odd,0.1632530063390732,1.0,0.8417159855365753,0.6976331472396851,0.9387574017047882,0.7373056828975677,,0.3732937604188919,0.41183432638645173,0.848816591501236,0.016132142557762564,18.43448419577326,0.014027423225343227,0.6881656885147095
organization country,even,0.16044225841760634,1.0,0.7430288672447205,0.700961571931839,0.9466346561908722,0.7368421137332917,,0.37281553745269774,0.4079327046871185,0.8649038732051849,0.017836065217852592,17.863243583438454,0.015411950927227736,0.6990384936332703
organization country,random,0.11620879396796227,0.9503916561603546,0.7483028829097748,0.6446475386619568,0.8660574615001678,0.6522781908512115,,0.29363394230604173,0.35013055205345156,0.8067885279655457,0.018138246587477626,20.470746112591588,0.01629184642806649,0.6365535259246826
organization country,window,0.14712643772363662,0.9993449807167053,0.7737991392612458,0.6853711843490601,0.9495614111423493,0.70892493724823,,0.3548672556877136,0.39803493916988375,0.8331877887248993,0.015880937851034106,18.366206951718777,0.013541168719530105,0.6816593945026398
organization country,attr_level,0.10769230723381043,0.9155038952827453,0.8967654705047607,0.811968058347702,0.8608695864677429,0.5776978492736816,,0.2545454606413841,0.33386666476726534,0.7672634184360504,0.019412845419719816,20.62279517580755,0.017262570466846226,0.7664102792739869
organization involved,odd,0.15180722177028655,0.9943786978721618,0.8286982417106629,0.6890532672405243,0.9396449863910675,0.7455958485603332,0.9745562374591827,,0.43047338128089907,0.86213019490242,0.019574575778096914,14.76774312388443,0.016705308761447667,0.6677514910697937
organization involved,even,0.15282554924488068,0.9927884638309479,0.7427884817123414,0.6949519455432892,0.9514423549175263,0.7539473712444306,0.969711571931839,,0.4223557889461517,0.8711538791656495,0.021581176202744246,14.310840432043188,0.018367658648639918,0.681250023841858
