excluded_feature,test_type,Activity_acc,org:role_acc,case:Project_acc,case:Task_acc,case:OrganizationalEntity_acc,case:Activity_acc,case:RfpNumber_acc,time:timestamp_mae,case:RequestedAmount_mae,AVG_total_loss,MAE_time:timestamp,MAE_case:RequestedAmount,org:resource_acc
org:role,random,0.8022885978221893,,0.4772482246160507,0.7531123578548431,0.4638125762343407,0.9163435280323028,0.0413269586861133,0.0066264330578798,80.11021666093306,95.52032854122702,0.0065133976750075,78.42591934204101,0.9467958569526672
org:role,window,0.7949808537960052,,0.7184176951646805,0.7528711020946502,0.7031688593327999,1.0,0.0399829857051372,0.007096116350625,11.997867093302986,25.258276915503664,0.0069819519296288,12.030177283287047,0.9971714019775392
org:role,attr_level,0.799312686920166,,0.4539865881204605,0.7585339188575745,0.4401871718466282,0.9135039687156676,0.0386879704892635,0.0067649541909552,95.916666134921,111.46935934508852,0.00666527710855,95.7674934387207,0.9663087368011476
case:Project,odd,0.9267231225967408,0.985096764564514,,0.7501511514186859,0.7973095729947091,1.0,0.0317412354052066,0.0083312705921178,6.091984571110119,17.869774446282957,0.00828901049681,6.105119907855988,0.9991233706474304
case:Project,even,0.8669312298297882,0.8855218827724457,,0.7539922893047333,0.5738095313310623,0.9215969443321228,0.0447330437600612,0.008426040389829,78.03076702464712,90.85264761096332,0.0083379045128822,78.0406593322754,0.999615204334259
case:Project,random,0.809693020582199,0.8592352986335754,,0.7530045747756958,0.5237748868763447,0.9144049167633056,0.0413269586861133,0.0083198658190667,81.57554692355069,95.28312168206853,0.0082357609644532,79.95956649780274,0.944426453113556
case:Project,window,0.800680547952652,0.8461080312728881,,0.7526584267616272,0.7967460542917252,1.0,0.0399829857051372,0.0082661657721142,11.354187258807096,23.72388173089024,0.0081939502153545,11.38850483894348,0.9973840892314912
case:Project,attr_level,0.8060533583164216,0.8838017582893372,,0.7585880160331726,0.5046524196863175,0.913286167383194,0.0386879704892635,0.0085917014882645,96.88779882951216,110.5304526746866,0.0085200075060129,96.74521865844729,0.965315455198288
case:Task,odd,0.9262394547462464,0.9856106638908386,0.7853083729743957,,0.8484885334968567,1.0,0.0317412354052066,0.0083163074006072,11.645159628174522,22.57050394909139,0.0082328009419143,11.68052430152893,0.9996675014495848
case:Task,even,0.868278032541275,0.8880471289157867,0.5691919326782227,,0.6101010173559189,0.904569524526596,0.0447330437600612,0.00866603968792,81.34842668013138,93.91691406369422,0.0085121222771704,81.37459945678711,0.9995190024375916
